Column,Name
1,Gender (male)
2,Gender (female)
3,Race (OMB) (White)
4,Race (OMB) (Black or African American)
5,Race (OMB) (Asian)
6,Ethnicity (OMB) (not Hispanic or Latino)
7,Ethnicity (OMB) (Hispanic or Latino)
8,Age (60 - 69)
9,Age (50 - 59)
10,Age (40 - 49)
11,Age (70 - 79)
12,Age (30 - 39)
13,Age (80 - 89)
14,Age (90+)
15,Age (20 - 29)
16,Age (10 - 19)
17,Height (cm) (median-imputed)
18,Height (cm) (Missing indicator)
19,Weight (kg) (median-imputed)
20,Weight (kg) (Missing indicator)
21,Indication for Warfarin Treatment (Code 1)
22,Indication for Warfarin Treatment (Code 2)
23,Indication for Warfarin Treatment (Code 3)
24,Indication for Warfarin Treatment (Code 4)
25,Indication for Warfarin Treatment (Code 5)
26,Indication for Warfarin Treatment (Code 6)
27,Indication for Warfarin Treatment (Code 7)
28,Indication for Warfarin Treatment (Code 8)
29,Indication for Warfarin Treatment (Missing indicator)
30,Diabetes (Y/N)
31,Diabetes (Missing indicator)
32,Congestive Heart Failure and/or Cardiomyopathy (Y/N)
33,Congestive Heart Failure and/or Cardiomyopathy (Missing indicator)
34,Valve Replacement (Y/N)
35,Valve Replacement (Missing indicator)
36,Aspirin (Y/N)
37,Aspirin (Missing indicator)
38,Acetaminophen or Paracetamol (Tylenol) (Y/N)
39,Acetaminophen or Paracetamol (Tylenol) (Missing indicator)
40,Was Dose of Acetaminophen or Paracetamol (Tylenol) >1300mg/day (Y/N)
41,Was Dose of Acetaminophen or Paracetamol (Tylenol) >1300mg/day (Missing indicator)
42,Simvastatin (Zocor) (Y/N)
43,Simvastatin (Zocor) (Missing indicator)
44,Atorvastatin (Lipitor) (Y/N)
45,Atorvastatin (Lipitor) (Missing indicator)
46,Fluvastatin (Lescol) (Y/N)
47,Fluvastatin (Lescol) (Missing indicator)
48,Lovastatin (Mevacor) (Y/N)
49,Lovastatin (Mevacor) (Missing indicator)
50,Pravastatin (Pravachol) (Y/N)
51,Pravastatin (Pravachol) (Missing indicator)
52,Rosuvastatin (Crestor) (Y/N)
53,Rosuvastatin (Crestor) (Missing indicator)
54,Cerivastatin (Baycol) (Missing indicator)
55,Amiodarone (Cordarone) (Y/N)
56,Amiodarone (Cordarone) (Missing indicator)
57,Carbamazepine (Tegretol) (Y/N)
58,Carbamazepine (Tegretol) (Missing indicator)
59,Phenytoin (Dilantin) (Y/N)
60,Phenytoin (Dilantin) (Missing indicator)
61,Rifampin or Rifampicin (Y/N)
62,Sulfonamide Antibiotics (Y/N)
63,Sulfonamide Antibiotics (Missing indicator)
64,Macrolide Antibiotics (Y/N)
65,Anti-fungal Azoles (Y/N)
66,Anti-fungal Azoles (Missing indicator)
67,"Herbal Medications, Vitamins, Supplements (Y/N)"
68,"Herbal Medications, Vitamins, Supplements (Missing indicator)"
69,Current Smoker (Y/N)
70,Current Smoker (Missing indicator)
71,Cyp2C9 genotypes (*1/*1)
72,Cyp2C9 genotypes (*1/*3)
73,Cyp2C9 genotypes (*1/*2)
74,Cyp2C9 genotypes (*2/*2)
75,Cyp2C9 genotypes (*2/*3)
76,Cyp2C9 genotypes (*3/*3)
77,Cyp2C9 genotypes (*1/*5)
78,Cyp2C9 genotypes (*1/*13)
79,Cyp2C9 genotypes (*1/*14)
80,Cyp2C9 genotypes (*1/*11)
81,Cyp2C9 genotypes (*1/*6)
82,VKORC1 genotype: -1639 G>A (3673); chr16:31015190; rs9923231; C/T (A/G)
83,VKORC1 genotype: -1639 G>A (3673); chr16:31015190; rs9923231; C/T (A/A)
84,VKORC1 genotype: -1639 G>A (3673); chr16:31015190; rs9923231; C/T (G/G)
85,VKORC1 genotype: 497T>G (5808); chr16:31013055; rs2884737; A/C (G/T)
86,VKORC1 genotype: 497T>G (5808); chr16:31013055; rs2884737; A/C (T/T)
87,VKORC1 genotype: 497T>G (5808); chr16:31013055; rs2884737; A/C (G/G)
88,VKORC1 genotype: 1542G>C (6853); chr16:31012010; rs8050894; C/G (C/G)
89,VKORC1 genotype: 1542G>C (6853); chr16:31012010; rs8050894; C/G (C/C)
90,VKORC1 genotype: 1542G>C (6853); chr16:31012010; rs8050894; C/G (G/G)
91,VKORC1 genotype: 3730 G>A (9041); chr16:31009822; rs7294;  A/G (A/G)
92,VKORC1 genotype: 3730 G>A (9041); chr16:31009822; rs7294;  A/G (G/G)
93,VKORC1 genotype: 3730 G>A (9041); chr16:31009822; rs7294;  A/G (A/A)
reward,Therapeutic Dose of Warfarin (Reward: 0 if dose <= 21; 1 if 21 < dose < 49; 2 if dose >= 49)
